,clean_tweet
4042,අම්මත් මගේ නම් තාත්තාත් මගේ නම් සල්ලි දෙන්නෙත් මගෙ අම්මයි තාත්තායිනම්වෙන කොහෙවත් යන එව්වොන්ටනේ ගායවැදියන්
4043,නෑයා වේයායඑහෙත් වේයා හොඳයවේයා කන්නේ ලී විතරයඑහෙත් නෑයා කන්නේ අපේ ඔළුවයනෑයා ට වැදියන්වැදියන්වැදියන්ය
4044,මාගේඅකෞන්ට් එක හැක් කෙරූ ඔබට හෙන හතම වැදියන්
4045,ඉගි_දීලා_දීලා අන්තිමමොහොතෙබෑ කිවුවොත්පහු කරන උලුවස්සක් උලුවස්සක්පාසා අනේඕකිගෙ සුලැගිල්ලම_වැදියන්
4046,ගෙවල් වල ඇඳවල් වලට වෙලා අම්මලාගෙන් කකා බිබී ටුවිටර් එකේ වීරයෝ වෙන ගොබ්බ හැත්තට මේක වැදියන්
4047,ඉගි දීලා දීලා අන්තිමමොහොතෙබෑ කිවුවොත්පහු කරන උලුවස්සක් උලුවස්සක්පාසා අනේඕකිගෙ සුලැගිල්ලම වැදියන්
4048,වැදියන් අවශ්‍ය අයටතනිකඩ අයට වඩා විවාහක අයට විතරක් අදාළයි හොදේ
4049,"නටන්න තියෙන ඔක්කොම නාඩගම් නටලා කතා අහගත්ත උන්ගේ ආදර්ශ පාඨය "" කතා හදන උන් සේරම බොසත්ද ? "" හෙඩ්ශොට් වැදියන් ඩෝං"
4050,මේක වැදියන් ඩෝන් පටාන් දඩඔ බිඩිඔ ඩෝන් පක්
4051,අනේ අපිටත් ඔය ඉතුරුඋන චොකලට්කෑල්ලක් දෙන්නකො වැලන්ටයින්සමරන උන්ට වැදියන්
4052,හිතං ඉන්නේ හෙන කෑල්ල කියලා ගොං බඩ්ඩ වැදියන් වද්දගෙනමැරියං
4053,මේ කාලකණ්නියන්ව ට්‍රෙන්ඩ් කරපු උන්ට හෙන වැදියන්
4054,මට මං ගැනවත් අධිශ්ඨානයෙන් බලාගන්න බැරිනං තවත් කිලෝ හැටක් ගෙදර වැඩට ගෙනල්ල බලාගන්නෙ කොහොමද කියලා මිනිස්සු හිතනවා ඇති ඔෆිස්වල ෆෙෂර් එකට ගෙදරත් බලාගන්න ගමන් මතය වැදියන්
4055,දැන් එතකොට ඔය කියන කිරිබත්ගොඩ නිකායේ හාමුදුරුවෝ කරපු අපරාධය මොකක්ද එකම දේ ත්‍රිපිටකය සිංහලෙන් ලියපු එක ගැන ද මෙච්චර තරහ අරං තියෙන්නේ ? වැදියන්
4056,මෙහෙම හිතමු නිකමටවගේ හමුදාවේ කෑමබීම පාවිච්චි කරන්න ආස නෑ හමුදාව යටතේ නිරෝධායනය වෙන්න ආස නෑ හමුදාවේ දොස්තරලා ඉංජිනේරුවන් ගුරුවරුන් තමන් වෙනුවෙන් වැඩ කරනවට ආස නෑ ඉතින් අර වංසෙ හබල් ගහන කලවම් ජාන කියලා ලොකුකම් කතා කරන අයයි උබලයි අතර වෙනසක් නෑ නේද වැදියන්
4057,"ඔයා පන්සල්වල බණ අන්තිමට ඇහුවෙ කවදද ? මොකද ඔය "" බණ කරන්නේ සමාජයට අදාල ප්‍රායෝගික විදියට නෙමෙයි "" කියලා විවේචනය කරන්නේ කවදා කොහොම ගත්ත අත්දැකීම් පාදක කරගෙනද ? සමහරක් රැල්ලට බනිනවාමං ළගකදි අහපු බණ නම් එහෙම නිෂ්ප්‍රයෝජන නෑ කියලා මට කියන්න පුළුවන්මම අන්තිමටම රූපවාහිනීයේදි වැදියන්"
4058,අර හම්පඩ නාකියා කිව්වේ තෙල් ආවම විදුලි කප්පාදුව නවතිනවා කියලාදැන් කියනවා වැස්ස පටන් ගන්නකන් එහෙම වෙයිලුඅර සත්තු මැරෙන් නැතුව මේ වගේ ලොඳ බැහමු කාලකන්ණි නාකියෝ මකබැවිලා යන් නැනේමුන්ට හෙන ගහලත් මදි පරයෝ
4059,මේගෑණියේ බලේ ඉන්නකොට මොනවද රටට ජනතාවට කරපු සේවය ? කාටවත් කටක් ඇරලා කියන්න දෙයක් කලාද ? මහජන මුදල් නාස්ති කරන්න පාර්ලිමේන්තු එනවා ඇවිත් තක්කඩි කම් කරලා රටේ ගොං මාධ්‍ය අවුස්සාගෙන රටේ තුට්ටු දෙකේ ප්‍රසිද්ධිය ගන්නවාතොපිට හෙන ගැහිලා යන්න ඕනේ කාලකන්ණි
4060,පච වෙලා නේ ආටිකල් එක කියවලා බලපල්ලා මේ ආණ්ඩුපෙර සහ වත්මන්කොච්චර සිරි කාලකන්ණි වැඩද කරන්නේ කියලා
4061,අමතක නොවේ ඒ කාලකන්ණි යුගය
4062,සැදැහැ සිතින් වන්දනාවේ ගිය නඩයක්ය කියනවනේඋපන්ගෙයි සිරි කාලකන්ණි මුන් එක දඩ ගහන්න ඕනා හරිනං ඒ ආයතනයට
4063,"' ' "" වෘත්තීය සමිති "" කියලා හැම දේටම අරගල උද්ඝෝෂණ වර්ජන කරන්න පාරට මිනිසුන් දක්කන කාලකන්ණි අපේ සාමාන්‍ය ජිවිතේට දෙන වදේ දැන් තිත්ත වෙලා තියෙන්නේ අපේ ඉවසීමටත් සීමාවක් තියෙනවාමේ රට හදන්න බැහැ මේ කාලකන්ණින් ට දිගටම ඉඩ දුන්නොත්"
4064,කාලකන්ණි ජෙප්පෝ විනාශ කරපු රාජ්‍ය දෙපලත් ලපය මැරුණම නම් ගන්න බැරිවෙයි
4065,මේ කාලකන්ණි ආණ්ඩුවටයි ඇමතිලටයිඑකේ උන්ටයි එක වචනයක් නෑ නේ අම්මපා මොන කාලකන්ණි යක්කුද මේ ? උපයෝගිතා කොමිසමේ සභාපති කියල පොල් හරකෙකේ ඉන්නවා ඌ කරන්නෙත් ආණ්ඩුවට කත් අදින එකඇත්තමයි මගේ අවුරුදු ටදැකපු කාලකන්ණි ම ආණ්ඩුව මුකුත් ඕනි නෑඒක වචනයක් නෑ නේ අම්මපා
4066,මුන්ට අයේ කෝච්චියේ අවුරුදු පහකටයන්න බැරි වෙන්න නඩු දාන්න ඕනේ කාලකන්ණි මුන් තමයි මේ රට කන අළුත් පරම්පාරව
4067,ත්‍රස්තවාදීන් - සාමාන්‍ය ජනයා ඝාතනය කරමින්ප්‍රාණ ඇපයට ගනිමින් සිය අරමුණු වෙනුවෙන් යුද්ධ කරයි කාලකන්ණි වර්ජකයින් - සාමාන්‍ය ජනයා ප්‍රාණ ඇපයට ගෙන දැඩි ලෙස පීඩාවට පත් කරමින් සිය ඉල්ලීම් වෙනුවෙන් සටන් කරයි
4068,එක්කෝ මේ කරදර කාර කාලකන්ණි මදුරුවෝ ටික කාමරෙන් යන්න ඕනේ නැත්තන් මම යන්න ඕනේ මෙතනින් මුන්ට ඕනේ වෙඩිමක් කරගන්න දීලා
4069,පව් යකෝ අර කිරි පිටි ගන්න පෝලිං වල ඉන්න මිනිස්සුකාලකන්ණි නායකයෝ
4070,""" පත්තරවලට කාටූන් අඳින අය කරන්නේ හැමදාම උදේට ජනමනස බිඳ වැට්ටවීමයිඔවුන් කිසිම දවසක මොනවා හරි හොඳ දෙයක් ගැන කාටූන් අඳිනවා ඔබ දැක තිබෙනවද ? ඔබව සතුටු කරවන දෙයක් අඳිනවද ? "" ව්‍යාජමාධ්‍ය කාලකන්ණි රටවැට්ටීම ආපස්සට ජනතාමුලාව රිනාත්මකබව"
4071,මුන් වගේ උන් තාම මේ රටෙන් එලවන්න ඕනේකාලකන්ණි කෙනෙකුට ගෞරව කරන්නේ දන්නේ නැත්නම් උගේ දෙම්ව්පියෝ පවා වග කියන්න ඕනේ
4072,ඇතුලේ හෙඩ් එක එහෙම සවුත්තු වෙන්න බලයිඅනේ මන්දා මේ කාලකන්ණි දැන් මිනී මරණ එකත් එළිපිටම වගේනේ කරන්න යන්නේ
4073,ඉගෙනගෙන නැති කාලකන්ණි එහෙමනේ බං බරසාරෙට ඇමති පට්ටන් ගන්නේ හැම ආණ්ඩුවේමඔය හරක් දන්නවද මේවා දියුණු කරන්නඅනික් ලොකුම වැරැද්ද ලංකාවේ නිපදවන්න පුළුවන් හැමදේමත් රටින් ගේන්න ඉඩ ඇරියා සිතුසේ දැන් කුකුලෙක්ට කන්න බඩ ඉරිඟු ටිකත් රටින් ගෙන්න නෑ කියලා අඬන තැන අපි ඉන්නේ
4074,"බලපංකො ඉතිං බාර් එක ගැන කිසිම අප්ඩේට් එකක් සෑහෙන කාලකින් නැති වෙන්න තරම් බාර් එක කොච්චර ඈත් කරලද කියනව නම් "" කාලකන්ණි මත්පැන් "" කියල ජාතියකුත් ඇවිල්ලලු නේහ්"
4075,අවුරුදු ක් තිස්සේ පාකිස්තානේ හිටපු මනුස්සයෙක් ඔය කලා කියන වැරැද්ද කළා කියලා හිතන්න පුලුවන්ද ආයුබෝවන්ඩකාලකන්ණි තිරිසන්නු නේ ඉන්නේඑකෙක් මීඩියා වලට කියනවා ඌලු ඒ මනුස්සයව මැරුවේබලහල්ලකෝ ඉතිං රටේ හැටිත්‍රස්තවාදීන්ට උදව් දෙන රටෙන් වෙන මොනා බලාපොරොත්තු වෙන්නද
4076,ඒ කඩ ටික කඩලද කාලකන්ණි ? ඔය මිනිස්සු හින්දා තමයි ඔය වනාන්තර ආරක්ෂා වුනේදැන් ඉතින් ඔය ටිකත් කපලා දැයි
4077,ගෑස් ප්‍රශ්නේ උග්‍ර කලොත් රටමහජනතාව තවත් රෙස්ට්ලස්ඒවගේම පට්ටම පට්ට පිකට් එකක් දෙකකුත් කරගන්න පුළුවන්දැනටත් තියෙන ක්‍රයිසිස් එකක් නග්ගල ගත්තොත් අලුතින් එකක් හදනවට වඩා වාසි දායකයි දේශපාලන බල අරගලයේ කෝණයෙන් බලන විටමේවගෙයි අපේ පක්ෂ විපක්ෂ කාලකන්ණි දෙස්පල්ලෝ
4078,හිෂාලණි ලංකාවේ හැම මුළුතැන් ගෙයටම ප්‍රශ්නයක් නෙවේපාස්කු ප්‍රහාරේත් වැදුණු මිනිස්සුන්ට තමයි ඇත්තටම අමාරුවනමුත් ගෑස් කියන්නේ ලංකාවේ භාහුතරයක් ගෙවල් වලට ප්‍රශ්නයක් වෙන දෙයක් පොඩි ක්‍රයිසිස් එකක් ඇති කලොත්කාලකන්ණි ක්‍රමවලින් බලය අල්ලන්න හදන්නේ සක්කිලි
4079,යන පකයි ට තමා අත දිග ඇරලා අමු පොල් පිති ලෙලි යන්න නෙලන්න ඕනාකාලකන්ණි
4080,පුළුවන් තරම්කරන්න ඕනරටේ පවට පහලවුන කාලකන්ණි
4081,බාබර්කෝලිගේනිසා එහෙම කෝට් කරේ නොදකින් රිප්ලයි ටික කාලකන්ණි
4082,ගිය ආණ්ඩුවෙනුත් අර මෝටර්රථ වැරදි වලට දඩයකරපු වෙලාවේ බස් ස්ට්‍රයික් කරලා තමයි ඒක අඩු කරන්න බස්කාරයෝ පටන් ගත්තේමේවා මහා කාලකන්ණි රටවල් බන්
4083,නව නිෂ්පාදනවලඋස්සල අහුවෙලාකරපු අය ඉන්නවාගොඩක් රටවල් ණයයිඒනිසා මේව එලියට දාන්නෙ නෑකාලකන්ණි රාජපස්සල ලංකාව උගස්තියන්න චීනම තෝරගත්ත
4084,අපි ඔක්කොම අහක් කරමු අනික් කතාඔය අන්තිමට කිව්ව දේ කරන්න බැරි උන් එක්ක කොහේ රටක් කෙරිල්ලක්දකාලකන්ණි
4085,සාධාරණව බයක් තියනවාලංකාව බංකොලොත් වෙවිදෝ කියලා කාලකන්ණි බල්ලෝ රට කනවා
4086,යාපනේ ගුරුවරු තමන්ගේ ලමයින්ට උගන්වනවායාපනේ ගොවියෝ පාඩුවෙ ගොවිතැන් කරනවාඋද්ඝෝෂණ නෑවස ඉල්ලිලි නෑ එත් අපෙ කාලකන්ණි වස ටික ඉල්ලල මැරෙන්න හදනව
4087,සමහර මිනිස්සු කැමතියි තව එකෙක් කාලකන්ණි වෙලා ඉන්නව දකින්නඒ අර කාලකන්ණියට වඩා ඉහළින් ඉන්න පුළුවන් නිසාඌ කාලකන්ණි වෙන එකට හුරේ එක පවා දානව ඌ ගොඩ යන්න දගලනකොට කරන්න තියෙන දසමනක් ජාති කරල ආපහු හිටපු තැනටම ගන්න අර මිනිස්සුම දඟලනවසමහරු ඔය වැඩේ හොරෙන් කරනවසමහරු එලිපිටම කරනව
4088,ඉඳලා ඉඳලාඑක ආවම ඒක පෙන්නන්න කොහෙවත් නැති සෙප්පඩ චැනල් එකකට දෙනවාඅන්තිමට ඒ කාලකන්ණි පෙන්නනේ නෑචැනල් එක අහු වෙන්නෙත් නෑමොන කරුමයක්දරජයේ චැනල් එකකට ඇරුනම වෙන පෞද්ගලික චැනල් එකකට මේ වගේගන්න දෙන්න එපා
4089,ලංකාවට විරුද්ධවට හානි දායක අමුලික බොරු යොදා චිත්‍ර පටි හදලා ලෝකෙට මුදා හැරපු කාලකන්ණි
4090,ඔය ස්ටාලින් - මහින්ද - අනුර - කාලකන්ණි මේ රට වට්ටන්න කුඨ උපක්‍රම දියත්කරන බටහිර අසික්කිතයන්ගේ ඇම්බැට්ටයෝ
4091,නිකම් පඩිය අරන් ඉන්න එවුන් කාලකන්ණි නෙමෙයි නම් මොක්කුන්ද ?
4092,ඔන්ලයින් උගන්වන ගුරුවරුන්ට තර්ජන ඝර්ජන දිගටම දෙමවුපියනි නිහඩ නොවන්නමේ ඔබේ දරුවාගේ අනාගතය නැති කරන කාලකන්ණි ජෙපි වෘත්තීය සංගම්මු මුන්ට විරුද්ධව නැගී සිටිමු කඩාකප්පල්
4093,පලතුරු පැළ ටිකේ දළු දාන්න බෑ මේ කාලකන්ණි ටිකක් ඇවිත් දළු කපනවාවැස්ස නිසා වහ ගැහුවට වැඩක් නෑ
4094,රටේ ඇමතිවරු ටික ගෙනල්ලා මිනිස්සුන්ට ප්‍රශ්න අහන්න දුන්නොත් උන් සේරම කුල්ල කුජීත වෙලා යනවාඒ තරං රට කාබාසිනියා කරලා මිනිස්සුන්ගේ ප්‍රශ්ණ වලට විසඳුම් නොදී අනවශ්‍යය දේවල් වලට වියදම් කර කර ඉන්න කාලකන්ණි රැලක් කියලා අතටම අහු වෙනවා
4095,කාලකන්ණි ගුරුවරුන්ගෙන් ඉගනගත් දරුවන්සාපෙල ජයගෙන ඇතඋණුසුම් සුභ පැතුම්
4096,පරපුරක් නොමග යවපු මේ වගේ උන්ට තමයි කියන්නේ‍ “ කාලකන්ණි ” කියලා දැකලා නැත්තම් අද බලාගනිල්ලා
4097,කාලකන්ණි ගුටිකන දවස ළගයිමුන්ට තේරෙන්නේ නැහැ උන්ගේ ව්‍යාජ උද්ඝෝෂණ වර්ජන හින්දා මේ රටේ සාමාන්‍ය ජන ජිවිතයට මොනතරම් කරදරයක් ද කියලාදරුවන්ට කරපු පාඩුවට මුන් වන්දි ගෙවන්නම ඕනේ
4098,"මට යක්සාරුඩ වෙලා උන්නේ මම කතා කළාමටඑකෙන් ඇහෙනවා "" අපෝ ඕකා දැන් දිගටම කතා කරයි මොනා හරි කියලා දාහන් "" කියලාමගේ අම්මපා ලොක්ඩවුන් නැත්තන් ගිහිල්ලා හොඳ පදේ කියලා අරන් එන්නේයකෝ පිනට ගේනවා වගේ බඩුඑකත් මේ ග්‍රෑම් ක් විතර බරඑකක්කාලකන්ණි බල්ලෝ"
4099,ඔය කාලකන්ණි බණ කියන්නෙත් නෑනෙ බන්
4100,පාසැල් විවුර්ථ කරීම යනු දරුවන්ගේ ප්‍රගතියත් රටේ ප්‍රගතිය සදහා පටන් ගැනෙනවාඒකට $ කුලියට අධිරාජ්‍යවාදී ට වැඩ කරනකාලකන්ණි ඉඩ දෙන්නේ නැහැරට හොද පැත්තට යන විගස විරෝධ කිරීමට සුදානමි කොවිඩ් අලුත් රැල්ලක් ලබා දෙන්නමුන්ට රැවටෙන මෝඩ දෙමවුපියෝ ලැජ්ජා විය යුතුයි
4101,කතා කරල වැඩක් නෑ බන්එකෙක් සෙට් උනා ඌ කතා කරල කියනව කිරිපිටි තියෙනවලු ඕනද කියලඋගෙ අම්මට කියල කිව්ව ඉතින්කාලකන්ණි
4102,මුන් තමා වටෙන්ම කිරිපිටි පැකට් ගොඩ ගහගෙන කළු කඩ ප්‍රයිසස් වලට විකුනන්නේඋගේ අප්පගේ රට වගේ බයක් නැතුවඒකටත් වඩා ගාන දාලා එළිපිට විකුණන හැටිකාලකන්ණි හැත්ත එකට මේවා අහුවෙනවත් හොරයි
4103,ඒකාලේ හදිසි නීති දැම්මේ තුවක්කුව බෙල්ලට තියලා ත්‍රස්තවාදීගම්වල රැස්වීම කැදවලා එකවරම වෙඩි තියන්න ගත්තා වයසක මිනිසුන් දිව්වේ වැටී වැටී තුවාල කරගෙනඒ කාලකන්ණි තමයි අදත් රටේ කෙරෙන හැම දේටම අකුල් හෙලන්නේ කඩාකප්පල් ව්‍යාපාරයක් ගෙනියන්නේ
4104,දුන්න ඡන්දය ගැන ආඩම්බරයි නේද ? ගෑස් පෝලිමසිනි පෝලිමහාල් පෝලිමකිරිපිටි පෝලිම එක්ක එන අලුත්ම එක පළමුවත් කාලකන්ණි ආණ්ඩුවදෙවනුවත් කාලකන්ණි ආණ්ඩුවතෙවනුවත් කාලකන්ණි ආණ්ඩුව නොදකින් රාජපක්ෂ ආණ්ඩුව නම්
4105,"මේ කාලකන්ණි "" ප්‍රභල තීන්දු "" ගන්න අපේ දරුවන්ගේ අනාගතේ අදුරේ යන්න සලස්සලා ? ? මේ වගේ කැහි ගොඩවල් තොලොංචි කරලාම දැම්මේ නැත්තම් මේ රටේ දරුවන්ට ගොඩ එන්න බැහැ කාලකන්නි පවු කාරයෝමුන්ට සපෝට් කරන දෙමවුපියෝ ඉන්නවානම් උබලා විතර මන්ද බුද්ධික හරක් තවත් නැහැ"
4106,කාලකන්ණි සතුට වෙනුවට සැබෑ සතුට විදිණ්න පුරුදු වෙමු
4107,මුන් මොක්කුද ? මේවගේ කාලකන්ණි හින්දා තමයි දුක් විදින දුප්පත් එකාටවත් කවදාවත් ගොඩ එන්න රට හැදෙන්නේ නැත්තේ
4108,මුන් මොක්කුද ? මේවගේ කාලකන්ණි හින්දා තමයි දුක් විදින දුප්පත් එකාටවත් කවදාවත් ගොඩ එන්න රට හැදෙන්නේ නැත්තේ
4109,මාරාන්තික වසංගතයක් මැද රටේ මිනිස්සු අනතුරේ දාන කාලකන්ණින්ට මේක ලෝකේ තමයි දෙන සැලකිල්ලඔය පාරට මිනිස්සු දක්කන කාලකන්ණි නැති කරන්නේ අපේ ජිවත් වීමේ අයිතිය නේද ?
4110,මේ වගේ පරගැති කාලකන්ණි යහපාලනය කාලේ රටට ආගමට ජාතියට වුනු අපරාද නින්දා සියල්ල වෙද්දී කට පියාගෙන හිටියා ආර්ථිකය විනාශ කරලා සංවර්ධනය බිංදුව වෙනකම් කට වහන් හිටියාදැන් ජනතා හිතකාමී වැඩ වලට අකුල් හෙලනවා හැම දේම නොහොද කියනවාමේ හරක්ටත් ඉන්න සපෝටර්ලා නියම හරක් වෙන්න ඕනේ
4111,අරුට හරියට මාස්ක් එකවත් දාගන්න දන්නේ නැතිවද මිනිස්සු දක්කන් පාරට ගිහින් උද්ඝෝෂණ කලේ ? මු හොද ආදර්ශයක් එයාට රැවටිලා පාරට ගිය අයට දැන් ඔය ආරංචි වෙන්නේ රටේ හැම පැත්තෙන්ම ගුරු මරණමුන් අල්ලලා හංවඩු ගැහුවත් මදි කාලකන්ණි
4112,ස්ටාලින් මහින්ද අනුර කුමාර දිසානායක සජබේ - සජිත් - - උද්ඝෝෂණ කරන්න එපා ලෙඩේ පැතිරෙයි කියලා කිව්වාම මුන් ඇහුවේ වැස්සටවත් ඉස්කෝලේ ගියාද කියලා කාලකන්ණි තොපි මේ මිනිසුන්ගේ ජිවිත වලට වග කියන්න ඕනේ
4113,මේ කනගාටුදායක ආරංචි දැන් එන්න එන්න වැඩිවෙනවා - ස්ටාලින් - අනුර - මහින්ද - කාලකන්ණි ජය සංකේත වෙමින් ඔය රට වහන්න කියන මහානායක මල්වතු - අස්ගිරි හාමුදුරුවෝ ලා කට අරින්න තිබ්බේ මුලින්ම මේ කාලකන්ණි මේ මිනිසුන්ව වසංගතයක් මැද පාරවල් දිගේ දක්කනකොට නේද ? ? ඇයි නිහඩ වුනේ ? කුණු දේශපාලනේද ?
4114,වලින් කාලකන්ණි හුරන් කනවා ලංකාවේ මිනිස්සු නම්
4115,මේ වගේ කාලකන්ණි ආගමක් නිර්මාණය කරපු එකාට _ල්ලා කෙසේවෙතත් බල්ලා කියලනම් කට පුරා කියන්න පුලුවන්
4116,බොරුපුවත් හදමින් පතුරවමින් රටට කෙලින්නම කාලේ ගත කරන පරගැති කාලකන්ණි වෙන ලෝකේ කොහෙවත් නැති තරමට ලංකාවේ නම් ඉන්නවා ආණ්ඩුව ලොක්ඩවුන් කල් දාන්නේ ඇමති නිවාඩ් කබ්‍රාල්ගේ පුතාගේ විවාහය නිසාද ?
4117,පසුගිය දිනෙක රටේ ‘ සෞඛ්‍ය ප්‍රශ්නය දෙවියන්ට භාර කරමු ‘ යයි පැවසූ ජනමාධ්‍ය ඇමතිවරයා අද දින නව සෞඛ්‍ය ඇමතිවරයා ලෙස පත් කරන්නට යෙදිණිඔහු රටේ අධ්‍යාපන වෘත්තිකයකුට ‘ කාලකන්ණි ‘ යයි පැවසීම නිසාද පසුගිය කාලයේ ආන්දෝලනයක් ඇති වී තිබිණි ඔහුගේ කතා බස්වලට සමාජ මාධ්
4118,වසංගතයක් මැද මිනිස්සු පාරට බස්සාලා දවස් ගානක් ඩෙගා නටලා රෝගය වේගවත් පැතිරීමක් ඇති කරලා දැන් කියනවා රට වහන්නලුකාලකන්ණි දැන් රෝගයෙන් මිය යන හැම කෙනෙක්ටම මුන් වග කියන්න ඕනේ
4119,ගුරුවරුන් කෙරෙහි ඇති ගෞරවය කෙලෙසන තැනට වැඩ කල කාලකන්ණි
4120,ගුරු වර්ජන කියලා ජනතාව මුලා කරලා මිනිස්සු පාරට බස්සපු ජේවීපී හොටුගාමි ස්ටාලින් කාලකන්ණි ඇති කරපු කොවිඩ් රැල්ල අද බිලිගන්න මිනිස් ජිවිත ගැන හිතන්න
4121,ගුරු වර්ජන කියලා ජනතාව මුලා කරලා මිනිස්සු පාරට බස්සපු ජේවීපී හොටුගාමි ස්ටාලින් කාලකන්ණි ඇති කරපු කොවිඩ් රැල්ලෙන් මියයන මිනිස්සු
4122,කුඨ - රිෂාඩ් බදුදින්ට ඇප දෙන්න ආවෙත් කාලකන්ණි - ස්ටාලින්ට ඇප දෙන්න ආවෙත් එකම නීතිඥයාමේ වෙන දේ හිතාගන්න අමාරු නැහැ
4123,හෙට ඉදන් ලයට් කපන් නැ නේදඅර හම්පඩ නාකියා කිව්වේ එහෙම නේද ?
4124,අනේ මංදා මමෆ්ලයි කරනකොට ඒ කෙල්ලො නං හොඳටම ෆිට් මගෙත් එක්කමම යන්නෙ හම්පඩ ගැහිච්ච ඇඳුම් ඇඳං සමහරවිට අපි අනුන්ට හොඳින් සලකනකොට ඒගොල්ලොත් අපට එහෙමයි
4125,ගෙදර ඉන්න ඕන නාකී හම්පඩ මොලේ කචල් උන් පාර්ලිමේන්තු යැව්වාම මේ වගේ මන්ද මෝල් කතා අපි අහගන්න එක සාදාරනයිමොකෝ ඉතින් උන් පෙට්ට්‍ර්ල් ඩීසල් පොලින් වල ඉන්න එකක් ඈ තුහ් විතරක්
4126,මේවා කියලා තමයි දැන් බයියෝ සැනසෙන්නේවෙන ආණ්ඩුවක් කාලේ මේක උනානම් මේ කප්පම් කහඳෙගේ දූ ඇතුලු හොරිකඩයෝ ටික වැල්ලෙන්න හදයි රාජ්‍ය නායකයගේ ඉඳන් වැරදි කිය කිය ඉඳකින් ඒම්සියෝ
4127,ආවා නම් කතා කරපන් යකොව්වැඩ පැත්තක තියලා අවේ කටහඬ අහන්න ඉඳකින්
4128,"ඇමරිකාවෙ ජනාධිපති ආර්යාවවල නිරත වෙනවාඅපේ රටේ ජනාධිපති ආර්යාව මේ වගේ ඇක්ටිව් වුනොත් මේකෙ ඉන්න උන් "" ඉඳකින් අරකි උඩ ගිහින් ඔක්කොටම වැඩිය "" "" ඒකිට තියෙන අයිති මොකද්ද ආර්මි එකට ස්පීච් එකක් දෙන්න "" අපේ උන්ට ඕන ඉතිං හරිම නිවිච්ච විදිහට ඉනින රෙද්දයි හැට්ටෙයි"
4129,ඉඳකින් දැන් මාසයක් විතර තිස්සේ ප්‍රොජෙට් ටොපික් එකක් ෆයිනලයිස් කරගන්න බැරුව හෙට්ටු වෙනවාවෙන වැඩක් කරන්න හිතෙන්නෙත් නෑ ඒක හදාගන්න බැරුව
4130,"අසලංකයාගෙ පාර උඩ තියනකන් අයියයි මායි මල්ලියි "" පාර "" බෞන්ඩ්‍රිය ගාවින් අරූ අල්ලගත්තම "" ඉඳකින් ක් වත් නැද්ද ? """
4131,මෙච්චර දෙයක් වෙලා තියෙද්දිත් තාම ඉන්නවනේ එක එකාට කඩේ යන ගම් කබර හැත්තක්ඉඳකින් තොපි
4132,එකක යන්න ආසයි කිව්වාමවයසට ගියාම දඹදිව යමු කිවිවා ඉඳකින්
4133,මතක ඇතිව නෙයිමාර්ට කියපන් කවුරැ හරි ළඟින් ගියත් කකුල අල්ලන් බොරැවට බිම පෙරළෙන්ඩ එපා කියලාඉඳකින් සෙවලයා
4134,ඉඳකින් ඒක කිව්ව කැත
4135,ඉඳකින් ඩිප්‍රෙස් වුනේ කොහෙ හරි යන්න නැතිව
4136,ඉඳකින් මෙහෙම කියන උන්
4137,එකකින් පස්සේ - පාස්කු සිද්දිය මනින්න - මැන්න ද ? දිග ද ? කොට ද ? හිනායනවා - අය්යො දෙන් කාට ද හිනා ? එයාලා ගැන විතරක් - යකො තො රාජපක්ශ පවුලෙ හැත්තක් ද ? මොලේ නැහැ - දෙන් ඔය පැටියා කොහේ ද ඉන්නේ ? පිස්සන් කොටුවෙ ද ? තාත්තාට - අය්යට පුලුවන් නිසා මල්ලිටත් පුලුවන්
4138,පල් හොරු රැල ගහලා පන්නන්න ඕනැසංචාරක ප්‍රවර්දනය තියා රටේ ගුවන්තොටුපල හරියට කලමණාකරනය කර ගන්න බැරි බලු හැත්තක් ඉන්නේගුවන් තොටුපලක සංචාරකයෝ කියලා විශේෂයක් අවශ්‍ය නැ සියලුම දෙනාට සියලු පහසුකම් තිබිය යුතුයිකයිවාරුව විතරයි දන්නේ කාලකන්නි හැත්තටොයිලට් පේපර් එකෙනුත් හොර කනවා
4139,අර ජේවීපී එකට බලයක් යන්න සෙට් වෙනකොටමආණ්ඩුවක් කරන්න තරම් ලැබේද කියලා නෑමුන් මිනිස්සු රවට්ටන්න ගහන ගේම්මේවා බලාගෙන ආපහු රාජ්පක්ෂලාට චන්දය දෙන මෝඩ හැත්තක් ඉන්න රටක අපිත් ඉන්නෙ බොලව්
4140,‍‍‍ මේ වගේ බුරු හැත්තක්
4141,ඒ මදිවට සමහරක් තකතීරුවෝ ඒ නිසා අපි රුසියාවචීනය කරන ඒවා විවේචනය කරන්න ඕනෙ නෑය කියලත් කියනවාමුං වගේ ගොබ්බ හැත්තක් ඉන්න රටක වතාවක් ආමාරුවෙන් එලව ගත්තු හොර පවුලකට දැන් එයාලා හැදිල ඇතිය කියල ඡන්දය දීපු උක් හිටපු එක පුදුමයක් නෙමෙයි
4142,උන්ට හීනෙන්වත් ලබන හැම කෙනෙක්ටම ඊරිසියා කරන කුහක හැත්තක් උන් පිරිමින්ට විතරක් නෙමෙයි ගෑනුන්ටත් ඊරිසියයි
